stats,alpha,delta,u,g,r,i,z,redshift,plate,MJD
count,59445.0,59445.0,59445.0,59445.0,59445.0,59445.0,59445.0,59445.0,59445.0,59445.0
mean,177.95472655416233,23.513910605874596,22.587379290268313,20.906101454453694,19.587551746488355,18.85198969332997,18.449156498612165,0.4215961504447531,4869.375607704601,55423.463605013036
std,94.40376026496035,19.315205004854732,2.2643550874835427,2.107755373928992,1.8741329245455989,1.689809307457972,1.656302220864679,0.2648576058580993,2858.3324352614404,1806.0534724145955
min,0.0055278279239701,-12.3647005089841,13.89799,12.67902,11.74664,11.29956,10.89738,-0.009970667,266.0,51608.0
25%,131.506951207766,5.16701560189225,20.79476,18.91268,17.81715,17.37967,17.09567,0.1645267,2172.0,53845.0
50%,181.315787179896,22.3017310235982,22.84177,21.5822,20.10459,19.22366,18.76663,0.4562742,4770.0,55830.0
75%,231.333265806658,37.9726973812701,24.20741,22.44513,20.97461,19.94709,19.47226,0.5946987,6792.0,56543.0
max,359.994124543599,77.615587878828,29.32565,31.60224,29.57186,30.16359,29.38374,1.995524,12547.0,58932.0
