stats,alpha,delta,u,g,r,i,z,redshift,plate,MJD
count,18961.0,18961.0,18961.0,18961.0,18961.0,18961.0,18961.0,18961.0,18961.0,18961.0
mean,180.4743144505685,26.808621332117472,21.547619273245083,20.926192992458205,20.624089024313065,20.431172771478295,20.266731590633405,1.7196760892911345,6943.071620695111,56627.54717578187
std,98.96234801759223,19.588410040255756,1.4958793338774725,1.1632387462642577,1.084236658075138,1.0801353273763596,1.0950761670447748,0.9139542763221464,2792.0931669047404,1579.823333505083
min,0.0109586937406903,-15.9809039198368,10.99623,13.66217,12.35763,12.63744,11.30247,0.0004606231,267.0,51608.0
25%,129.133119131337,7.4270896414343,20.63764,20.24973,20.00633,19.81107,19.64425,1.106605,5005.0,55868.0
50%,183.682503914623,29.2991672417533,21.50324,21.05629,20.77272,20.58211,20.37397,1.617232,7574.0,56955.0
75%,235.86477432532,42.8869527245995,22.28647,21.68777,21.41345,21.20228,21.00123,2.220279,8746.0,57870.0
max,359.99961524169,82.2886569832097,32.78139,27.89482,27.39709,32.14147,28.79055,7.011245,12547.0,58932.0
