stats,alpha,delta,u,g,r,i,z,redshift,plate,MJD
count,21593.0,21593.0,21593.0,21593.0,21593.0,21593.0,21593.0,21593.0,21593.0,21593.0
mean,174.23217984199067,23.499671133914394,21.153830220441808,19.617142123373316,18.947005207243087,18.543760117306533,18.334294747047654,-0.00011490666184239198,4287.965451766776,55131.156578520815
std,99.87791306412751,20.383099344176472,2.3604817395513744,2.119478199438434,1.9728249127053115,1.8417534613707927,1.843200781797747,0.0004651628702073404,2691.8441456405953,1656.3048570068765
min,0.0298381739607976,-18.7853280771825,12.10168,10.4982,9.82207,9.469903,9.612333,-0.004136078,267.0,51608.0
25%,114.850485490292,3.1287944137095,19.32774,18.03487,17.45395,17.1396,16.96417,-0.0002953639,2318.0,53905.0
50%,174.149511641346,23.4005902075895,21.01065,19.54283,18.95513,18.59239,18.31923,-7.61614e-05,3296.0,54924.0
75%,240.854600950918,39.9397586185283,22.96063,21.22877,20.55757,20.04198,19.72963,7.541069e-05,6386.0,56365.0
max,359.999809770956,83.00051858898,30.66039,30.607,29.37411,30.25009,26.42779,0.004153254,12547.0,58932.0
