stats,alpha,delta,u,g,r,i,z,redshift,plate,MJD
count,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
mean,177.6286528429036,24.13555219391302,22.080679075790755,20.631583277432775,19.64577694776948,19.08486491317914,18.768988012110125,0.5766665697925817,5137.027890278903,55588.65368653687
std,96.50261197398167,19.644607593092676,2.2510684310773263,2.0373840693120977,1.8547630620472508,1.7579003351110218,1.765981870794039,0.7307086549829871,2952.3124845335287,1808.4922172684865
min,0.0055278279239701,-18.7853280771825,10.99623,10.4982,9.82207,9.469903,9.612333,-0.009970667,266.0,51608.0
25%,127.517698439152,5.147476643850915,20.35241,18.96524,18.135795,17.73228,17.46083,0.054521694999999995,2526.0,54234.0
50%,180.900526788386,23.6464624666493,22.17914,21.09993,20.12531,19.40515,19.0046,0.4241756,4987.0,55869.0
75%,233.8950051567955,39.90158234885075,23.68748,22.123775000000002,21.04479,20.39651,19.92112,0.7041720499999999,7400.5,56777.0
max,359.999809770956,83.00051858898,32.78139,31.60224,29.57186,32.14147,29.38374,7.011245,12547.0,58932.0
